index,season,episode,total_lines,andy,angela,charles,clark,creed,darryl,david wallace,deangelo,dwight,erin,gabe,holly,jan,jim,jo,karen,kelly,kevin,meredith,michael,nellie,oscar,other,pam,pete,phyllis,robert california,roy,ryan,stanley,toby
58,4,12,241,0,0,0,0,0,3,4,0,5,0,0,0,26,14,0,0,15,4,1,78,0,1,55,21,0,0,0,0,10,0,4
59,4,13,282,10,12,0,0,0,0,0,0,16,0,0,0,73,38,0,0,0,0,0,90,0,0,13,28,0,1,0,0,0,1,0
60,4,14,220,14,1,0,0,3,0,0,0,17,0,0,0,1,21,0,0,0,20,0,72,0,2,24,35,0,9,0,0,0,1,0
61,4,15,305,4,4,0,0,2,0,0,0,42,0,0,0,0,37,0,0,3,3,1,85,0,6,30,13,0,3,0,0,60,4,8
62,4,16,255,23,3,0,0,1,13,0,0,32,0,0,0,0,23,0,0,1,8,0,87,0,2,0,16,0,7,0,0,6,23,10
63,4,17,186,12,4,0,0,4,6,0,0,9,0,0,0,0,19,0,0,1,7,1,45,0,5,38,33,0,2,0,0,0,0,0
64,4,18,516,7,14,0,0,7,2,0,0,37,0,0,69,24,59,0,0,4,23,4,159,0,1,5,42,0,16,0,0,5,1,37
65,5,1,499,29,26,0,0,5,10,0,0,47,0,0,55,5,62,0,0,12,14,4,116,0,18,17,37,0,16,0,0,17,8,1
66,5,3,219,11,2,0,0,1,0,0,0,15,0,0,51,0,27,0,0,3,5,13,61,0,5,7,9,0,3,0,0,3,3,0
67,5,4,270,13,13,0,0,2,9,0,0,35,0,0,10,38,27,0,0,2,4,1,79,0,3,0,25,0,7,0,0,0,2,0
68,5,5,268,7,8,0,0,2,8,5,0,31,0,0,36,0,21,0,0,0,5,0,77,0,5,16,9,0,23,0,14,0,1,0
69,5,6,295,40,0,0,0,2,29,0,0,36,0,0,32,0,25,0,0,5,1,1,59,0,1,15,25,15,4,0,0,4,1,0
70,5,7,366,26,6,0,0,0,1,0,0,85,0,0,0,0,103,0,0,23,2,0,63,0,0,21,30,0,0,0,0,6,0,0
71,5,8,324,69,10,0,0,1,0,17,0,15,0,0,0,0,22,0,0,15,2,5,77,0,38,21,14,0,2,0,0,13,3,0
72,5,9,298,6,2,0,0,2,0,11,0,38,0,0,0,0,31,0,0,10,2,2,90,0,3,25,26,0,3,0,0,18,0,29
73,5,10,322,17,23,0,0,1,0,6,0,29,0,0,0,0,31,0,0,1,3,1,100,0,31,13,58,0,2,0,0,0,4,2
74,5,11,240,8,12,0,0,1,6,0,0,27,0,0,0,0,26,0,0,1,3,36,65,0,5,6,6,0,19,0,0,0,4,15
75,5,12,286,65,21,0,0,2,0,8,0,63,0,0,0,0,33,0,0,2,8,6,52,0,10,2,9,0,3,0,0,0,2,0
76,5,13,261,5,3,0,0,1,0,9,0,72,0,0,0,0,14,0,0,2,14,2,90,0,3,32,5,0,4,0,0,0,5,0
77,5,14,412,23,16,0,0,4,5,10,0,72,0,0,0,0,35,0,0,3,8,3,119,0,10,34,31,0,11,0,0,0,28,0
78,5,16,232,27,0,0,0,5,0,0,0,24,0,0,0,0,31,0,20,8,0,0,54,0,1,17,35,0,3,0,0,0,7,0
79,5,17,239,0,16,0,0,2,0,0,0,33,0,0,0,0,33,0,2,16,15,9,47,0,11,15,37,0,1,0,0,0,2,0
80,5,18,300,0,4,0,0,0,0,0,0,31,0,0,0,0,35,0,0,9,15,3,86,0,14,58,32,0,11,0,0,0,2,0
81,5,19,311,12,0,0,0,2,3,25,0,71,0,0,0,0,39,0,0,0,10,0,113,0,7,4,24,0,0,0,0,0,1,0
82,5,20,290,4,8,66,0,0,0,18,0,21,0,0,0,0,30,0,0,7,5,0,104,0,1,7,14,0,3,0,0,0,2,0
83,5,21,264,14,6,25,0,1,0,0,0,12,0,0,0,0,26,0,0,6,13,2,87,0,11,12,38,0,3,0,0,0,7,1
84,5,22,308,15,3,40,0,1,0,0,0,17,0,0,0,0,35,0,0,1,10,0,80,0,1,23,65,0,2,0,0,11,4,0
85,5,23,256,18,0,25,0,2,0,0,0,28,16,0,0,0,28,0,0,5,2,1,46,0,5,3,45,0,1,0,0,25,3,3
86,5,24,276,25,0,14,0,0,0,0,0,83,0,0,0,0,22,0,0,1,1,0,90,0,0,13,15,0,5,0,0,6,1,0
87,5,25,286,3,2,39,0,0,0,37,0,25,1,0,0,0,29,0,0,1,1,0,76,0,0,13,33,0,1,0,0,24,1,0
